timestamp,src_ip,dst_ip,protocol,length
2026-06-03 17:59:14.581764,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:14.586400,192.168.1.21,172.217.24.197,TCP,105
2026-06-03 17:59:14.591656,192.168.1.21,172.217.24.197,TCP,90
2026-06-03 17:59:14.596278,142.250.205.78,192.168.1.21,TCP,156
2026-06-03 17:59:14.601295,192.168.1.21,142.250.205.78,TCP,105
2026-06-03 17:59:14.605753,172.217.24.197,192.168.1.21,TCP,66
2026-06-03 17:59:14.609861,172.217.24.197,192.168.1.21,TCP,66
2026-06-03 17:59:14.614318,192.168.1.21,172.217.24.197,TCP,66
2026-06-03 17:59:14.618324,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:16.352529,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:16.359040,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:16.370842,192.168.1.21,142.250.205.78,TCP,742
2026-06-03 17:59:16.606112,192.168.1.21,142.250.205.78,TCP,323
2026-06-03 17:59:16.610318,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:16.614578,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:16.618738,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:16.622962,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:16.627636,142.250.205.78,192.168.1.21,TCP,156
2026-06-03 17:59:16.631771,192.168.1.21,142.250.205.78,TCP,105
2026-06-03 17:59:16.635698,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:26.585017,192.168.1.21,142.251.220.106,UDP,71
2026-06-03 17:59:26.840682,142.251.220.106,192.168.1.21,UDP,74
2026-06-03 17:59:31.706268,142.251.220.106,192.168.1.21,UDP,123
2026-06-03 17:59:31.707793,192.168.1.21,142.251.220.106,UDP,75
2026-06-03 17:59:32.222085,172.64.148.235,192.168.1.21,TCP,90
2026-06-03 17:59:32.227293,192.168.1.21,172.64.148.235,TCP,94
2026-06-03 17:59:32.231932,172.64.148.235,192.168.1.21,TCP,66
2026-06-03 17:59:32.473722,192.168.1.21,192.168.1.1,UDP,100
2026-06-03 17:59:32.476561,192.168.1.1,192.168.1.21,UDP,268
2026-06-03 17:59:39.895937,192.168.1.21,192.168.1.1,UDP,101
2026-06-03 17:59:40.153242,192.168.1.1,192.168.1.21,UDP,176
